case_id,particle_index,x,y,z,a_x,a_y,b_l_x,b_l_y,d_x,d_y,collective_x,collective_y
n10_compact_f0.8_d10.0,4,-10,0,0,0.0028493350042677543,-0.0011472344832836724,0.002850683709618908,-0.0011479750114616683,0.002858977560838063,-0.0011489280808773172,8.2938512191549872e-06,-9.5306941564894491e-07
n10_compact_f0.8_d10.0,5,0,0,0,-3.1441863002079629e-18,-4.6078592330633938e-19,-1.951563910473908e-18,2.439454888092385e-19,-2.5036834787092785e-18,6.7363681041505243e-19,-5.5211956823537057e-19,4.2969132160581394e-19
n10_compact_f0.8_d10.0,6,10.000000000000002,0,0,-0.0028493350042677517,-0.0011472344832836742,-0.0028506837096189067,-0.0011479750114616698,-0.0028589775608380652,-0.0011489280808773172,-8.2938512191584567e-06,-9.5306941564742703e-07
n10_compact_f0.8_d10.0,7,-5,8.6602540378443873,0,0.0024182017087550495,-0.0018939792559462812,0.0024195173776449894,-0.0018947770049536033,0.0024244896855800881,-0.0019014831560967759,4.97230793509865e-06,-6.7061511431726166e-06
n10_compact_f0.8_d10.0,8,5.0000000000000018,8.6602540378443873,0,-0.0024182017087550482,-0.0018939792559462801,-0.0024195173776449886,-0.0018947770049536035,-0.0024244896855800903,-0.0019014831560967764,-4.9723079351016858e-06,-6.7061511431728334e-06
n10_compact_f0.8_d10.0,9,0,17.320508075688778,0,-2.1684043449710089e-19,-0.003175225129881983,-7.589415207398531e-19,-0.0031767518713628684,-6.2872768972071571e-19,-0.0031834630820833701,1.302138310191374e-19,-6.7112107205017681e-06
n10_compact_f1.0_d2.1,0,-3.1500000000000008,-1.8186533479473213,0,1.7084214609545743,0.98635759037145687,2.0907363706072277,1.2070872063746239,2.7380569702097226,1.5808179288071142,0.64732059960249488,0.37373072243249039
n10_compact_f1.0_d2.1,1,-1.05,-1.8186533479473213,0,0.19298155841327502,1.9309979023291663,0.19553397713085469,2.3726993989441509,0.43156797909299505,3.5438142739435348,0.23603400196214036,1.1711148749993838
n10_compact_f1.0_d2.1,2,1.0500000000000005,-1.8186533479473213,0,-0.19298155841327524,1.9309979023291663,-0.19553397713085491,2.3726993989441509,-0.4315679790929966,3.5438142739435352,-0.23603400196214169,1.1711148749993843
n10_compact_f1.0_d2.1,3,3.1500000000000008,-1.8186533479473213,0,-1.7084214609545749,0.98635759037145787,-2.0907363706072282,1.2070872063746256,-2.7380569702097235,1.5808179288071158,-0.64732059960249533,0.37373072243249017
n10_compact_f1.0_d2.1,4,-2.1000000000000001,0,0,1.7687840172781581,-0.79837201911677536,2.152584943595131,-1.0170123079737481,3.2848171770755035,-1.39815830361732,1.1322322334803725,-0.38114599564357188
n10_compact_f1.0_d2.1,5,0,0,0,-6.6613381477509392e-16,2.7755575615628914e-17,-1.3322676295501878e-15,-2.0816681711721685e-16,-3.4420595556174464e-15,-3.7364388417688245e-16,-2.1097919260672586e-15,-1.654770670596656e-16
n10_compact_f1.0_d2.1,6,2.1000000000000005,0,0,-1.7687840172781566,-0.79837201911677658,-2.1525849435951283,-1.0170123079737499,-3.2848171770755021,-1.3981583036173211,-1.1322322334803738,-0.38114599564357121
n10_compact_f1.0_d2.1,7,-1.05,1.8186533479473213,0,1.5758024588648807,-1.1326258832123914,1.9570509664642719,-1.3556870909704042,2.8532491979825014,-2.1456559703262168,0.89619823151822953,-0.78996887935581261
n10_compact_f1.0_d2.1,8,1.0500000000000005,1.8186533479473213,0,-1.5758024588648811,-1.1326258832123912,-1.9570509664642723,-1.3556870909704037,-2.8532491979825054,-2.1456559703262164,-0.89619823151823308,-0.78996887935581261
n10_compact_f1.0_d2.1,9,0,3.6373066958946434,0,2.2204460492503131e-16,-1.9727151807429126,2.2204460492503131e-16,-2.4141744127492455,-9.7722246630876943e-16,-3.1616358576142249,-1.1992670712338007e-15,-0.74746144486497945
n10_compact_f1.0_d2.5,0,-3.7500000000000004,-2.1650635094610968,0,0.85464238598393594,0.49342801160868938,0.91806731975675249,0.53004641419575904,1.0518300251003732,0.60727434813343106,0.13376270534362067,0.077227933937672022
n10_compact_f1.0_d2.5,1,-1.25,-2.1650635094610968,0,0.097197621390344449,0.96541122968376447,0.097896487236272145,1.0387016028728044,0.15241251038192752,1.258616879897873,0.054516023145655373,0.21991527702506852
n10_compact_f1.0_d2.5,2,1.2500000000000004,-2.1650635094610968,0,-0.097197621390343672,0.96541122968376392,-0.09789648723627134,1.0387016028728038,-0.15241251038192699,1.2586168798978725,-0.054516023145655651,0.21991527702506874
n10_compact_f1.0_d2.5,3,3.7500000000000004,-2.1650635094610968,0,-0.85464238598393683,0.49342801160868993,-0.91806731975675326,0.53004641419575971,-1.0518300251003743,0.60727434813343129,-0.133762705343621,0.077227933937671578
n10_compact_f1.0_d2.5,4,-2.5,0,0,0.88466946070008612,-0.39853000553042184,0.94849021865760008,-0.43456995654853092,1.1662004468144294,-0.49731533410362716,0.21771022815682928,-0.062745377555096238
n10_compact_f1.0_d2.5,5,0,0,0,-9.9920072216264089e-16,2.7755575615628914e-17,-9.9920072216264089e-16,7.6327832942979512e-17,-1.0022171987952113e-15,6.0357858213188703e-16,-3.0164766325703639e-18,5.2725074918890752e-16
n10_compact_f1.0_d2.5,6,2.5000000000000004,0,0,-0.88466946070008534,-0.39853000553042228,-0.9484902186575993,-0.43456995654853142,-1.1662004468144302,-0.49731533410362783,-0.21771022815683094,-0.062745377555096404
n10_compact_f1.0_d2.5,7,-1.25,2.1650635094610968,0,0.78747183930974041,-0.56688122415334286,0.85059373142132655,-0.60413164632427352,1.0137879364325006,-0.76130154579424625,0.1631942050111741,-0.15716989946997273
n10_compact_f1.0_d2.5,8,1.2500000000000004,2.1650635094610968,0,-0.78747183930974018,-0.56688122415334274,-0.85059373142132622,-0.60413164632427363,-1.0137879364325013,-0.76130154579424636,-0.1631942050111751,-0.15716989946997273
n10_compact_f1.0_d2.5,9,0,4.3301270189221945,0,0,-0.98685602321737842,-1.6653345369377348e-16,-1.0600928283915172,-2.2993469795500458e-16,-1.2145486962668617,-6.3401244261231099e-17,-0.15445586787534449
n10_compact_f1.0_d3.0,0,-4.5000000000000009,-2.598076211353316,0,0.41515894638648904,0.23969212945272081,0.42822939782605701,0.24723835810978534,0.46208376418218872,0.26678418563874212,0.033854366356131704,0.019545827528956783
n10_compact_f1.0_d3.0,1,-1.5,-2.598076211353316,0,0.047706778006544132,0.46852762589230817,0.047896973695932994,0.48363152074607602,0.062895276522718549,0.53562086754647475,0.014998302826785555,0.051989346800398739
n10_compact_f1.0_d3.0,2,1.5000000000000007,-2.598076211353316,0,-0.04770677800654409,0.46852762589230779,-0.047896973695932953,0.48363152074607596,-0.062895276522718813,0.53562086754647453,-0.01499830282678586,0.051989346800398573
n10_compact_f1.0_d3.0,3,4.5000000000000009,-2.598076211353316,0,-0.4151589463864892,0.239692129452721,-0.42822939782605696,0.24723835810978537,-0.46208376418218872,0.26678418563874196,-0.03385436635613176,0.019545827528956589
n10_compact_f1.0_d3.0,4,-3,0,0,0.42961021540082261,-0.19294853125978195,0.44278566988496898,-0.20033576438796491,0.49530891635366597,-0.21334152652651589,0.052523246468696994,-0.01300576213855098
n10_compact_f1.0_d3.0,5,0,0,0,-1.9428902930940239e-16,0,-2.7755575615628914e-17,5.2041704279304213e-17,-5.4427047461492848e-16,1.5089464553297176e-16,-5.1651489899929956e-16,9.8852941253667544e-17
n10_compact_f1.0_d3.0,6,3.0000000000000009,0,0,-0.42961021540082228,-0.19294853125978212,-0.44278566988496898,-0.20033576438796502,-0.49530891635366664,-0.21334152652651595,-0.05252324646869766,-0.013005762138550925
n10_compact_f1.0_d3.0,7,-1.5,2.598076211353316,0,0.38190343739427834,-0.27557909463252617,0.39488869618903594,-0.28329575635811116,0.43241363983094694,-0.32227934101995892,0.037524943641911002,-0.038983584661847759
n10_compact_f1.0_d3.0,8,1.5000000000000007,2.598076211353316,0,-0.38190343739427834,-0.27557909463252589,-0.39488869618903588,-0.28329575635811122,-0.4324136398309476,-0.32227934101995892,-0.037524943641911723,-0.038983584661847703
n10_compact_f1.0_d3.0,9,0,5.1961524227066329,0,-5.5511151231257827e-17,-0.47938425890544167,-5.5511151231257827e-17,-0.49447671621957046,-2.8741837244375573e-17,-0.53356837127748402,2.6769313986882255e-17,-0.039091655057913566
n10_compact_f1.0_d4.0,0,-6.0000000000000009,-3.4641016151377548,0,0.13389064941377393,0.07730180248101623,0.13526605636665345,0.078095894055506515,0.13980014714180997,0.080713652585073348,0.0045340907751565129,0.0026177585295668326
n10_compact_f1.0_d4.0,1,-2,-3.4641016151377548,0,0.015808635189258739,0.15071412770288531,0.01583532891411657,0.1523032897764475,0.018009719222118699,0.1587804311506634,0.002174390308002129,0.0064771413742159001
n10_compact_f1.0_d4.0,2,2.0000000000000009,-3.4641016151377548,0,-0.015808635189258673,0.15071412770288531,-0.015835328914116476,0.1523032897764475,-0.018009719222118727,0.15878043115066334,-0.0021743903080022504,0.0064771413742158446
n10_compact_f1.0_d4.0,3,6.0000000000000009,-3.4641016151377548,0,-0.13389064941377399,0.07730180248101623,-0.13526605636665356,0.078095894055506529,-0.13980014714181002,0.080713652585073306,-0.0045340907751564574,0.0026177585295667771
n10_compact_f1.0_d4.0,4,-4,0,0,0.13842658089453999,-0.061666384178383965,0.13981618248340455,-0.062437847771316536,0.14651274661137983,-0.063793341213951929,0.0066965641279752852,-0.0013554934426353929
n10_compact_f1.0_d4.0,5,0,0,0,-4.163336342344337e-17,-2.0816681711721685e-17,-6.9388939039072284e-17,1.5612511283791264e-17,-2.0781344748798943e-16,1.7963648277734734e-17,-1.3842450844891715e-16,2.3511369939434697e-18
n10_compact_f1.0_d4.0,6,4.0000000000000009,0,0,-0.13842658089453994,-0.061666384178383958,-0.13981618248340447,-0.062437847771316543,-0.14651274661137989,-0.063793341213951915,-0.006696564127975424,-0.0013554934426353721
n10_compact_f1.0_d4.0,7,-2,3.4641016151377548,0,0.12261794570528117,-0.089047743524501385,0.12398085356928787,-0.089865442005131024,0.12850302738926084,-0.094987089936711566,0.0045221738199729689,-0.0051216479315805419
n10_compact_f1.0_d4.0,8,2.0000000000000009,3.4641016151377548,0,-0.1226179457052812,-0.089047743524501385,-0.1239808535692879,-0.089865442005131052,-0.12850302738926112,-0.094987089936711538,-0.0045221738199732187,-0.0051216479315804864
n10_compact_f1.0_d4.0,9,0,6.9282032302755105,0,1.3877787807814457e-17,-0.15460360496203235,1.3877787807814457e-17,-0.15619178811101289,3.2334566899922517e-17,-0.16142730517014647,1.845677909210806e-17,-0.005235517059133582
n10_compact_f1.0_d6.0,0,-9.0000000000000018,-5.196152422706632,0,0.028003197752594411,0.016167653760630698,0.028078587642966155,0.01621118013413101,0.028383769830672825,0.016387377152355338,0.00030518218770667072,0.00017619701822432776
n10_compact_f1.0_d6.0,1,-3,-5.196152422706632,0,0.00357862377415963,0.031279775148698404,0.0035805818856918309,0.031366870310048686,0.0037350536925936889,0.031776648635888596,0.00015447180690185804,0.00040977832583991014
n10_compact_f1.0_d6.0,2,3.0000000000000013,-5.196152422706632,0,-0.0035786237741596257,0.031279775148698383,-0.0035805818856918274,0.031366870310048679,-0.0037350536925936958,0.031776648635888596,-0.00015447180690186845,0.00040977832583991708
n10_compact_f1.0_d6.0,3,9.0000000000000018,-5.196152422706632,0,-0.028003197752594418,0.016167653760630708,-0.028078587642966158,0.016211180134131014,-0.028383769830672832,0.016387377152355335,-0.00030518218770667419,0.00017619701822432082
n10_compact_f1.0_d6.0,4,-6,0,0,0.028878391790517804,-0.012540708475340006,0.028954797468559942,-0.012582560281684828,0.029386911812108479,-0.012653672935659279,0.00043211434354853764,-7.1112653974450893e-05
n10_compact_f1.0_d6.0,5,0,0,0,-1.3877787807814457e-17,-8.6736173798840355e-19,-1.7347234759768071e-18,0,-2.5478908943927663e-17,6.9609137076222091e-18,-2.3744185467950856e-17,6.9609137076222091e-18
n10_compact_f1.0_d6.0,6,6.0000000000000018,0,0,-0.028878391790517783,-0.012540708475340017,-0.028954797468559938,-0.012582560281684824,-0.029386911812108504,-0.012653672935659287,-0.0004321143435485654,-7.1112653974463036e-05
n10_compact_f1.0_d6.0,7,-3,5.196152422706632,0,0.025299768016358158,-0.018739066673358392,0.0253742155828681,-0.018784310028363865,0.025651858119514755,-0.019122975700229326,0.00027764253664665575,-0.00033866567186546098
n10_compact_f1.0_d6.0,8,3.0000000000000013,5.196152422706632,0,-0.025299768016358158,-0.018739066673358389,-0.0253742155828681,-0.018784310028363876,-0.025651858119514797,-0.01912297570022934,-0.00027764253664669739,-0.00033866567186546445
n10_compact_f1.0_d6.0,9,0,10.392304845413266,0,-3.4694469519536142e-18,-0.032335307521261403,-5.2041704279304213e-18,-0.032422360268262,-8.0836417249806292e-18,-0.032774754304710642,-2.8794712970502079e-18,-0.00035239403644864165
n10_compact_f1.0_d10.0,0,-15.000000000000002,-8.6602540378443873,0,0.0042966025393946002,0.0024806446327203008,0.0042991710183320998,0.0024821275447262747,0.0043105280588013814,0.0024886845350984119,1.1357040469281605e-05,6.5569903721371739e-06
n10_compact_f1.0_d10.0,1,-5,-8.6602540378443873,0,0.00067364577423859485,0.004751896467546801,0.0006737096418875521,0.0047548848646763947,0.00068019812944579612,0.0047698554608289947,6.4884875582440181e-06,1.4970596152599942e-05
