geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,max_symmetric_a_vs_c,max_angle_a_vs_c_deg,rms_b_vs_c,max_symmetric_b_vs_c,max_angle_b_vs_c_deg,rms_up_to_three_vs_c,max_symmetric_up_to_three_vs_c,max_angle_up_to_three_vs_c_deg,rms_two_body_correction,rms_collective_correction,rms_three_body_sum,rms_four_body,relative_three_body_sum_amplitude,relative_four_body_amplitude,reconstruction_max_abs,closed_form_max_abs,quartet_residual_relative,quartet_condition_number,max_triplet_residual_relative,max_triplet_condition_number,sum_c_x,sum_c_y
linear_chain,0.1,0.0,0.1,2.7459119496855346,0.005815831303258429,0.03903986238813732,0.0,0.003797177340451674,0.03869593300618268,0.0,6.8241984506632055e-06,1.1501563618721886e-05,0.0,6.018389800262352e-06,9.797765408679244e-06,9.78521233869456e-06,1.7608315210771072e-08,0.0037923123298180535,6.824198450663206e-06,5.421010862427522e-20,8.673617379884035e-19,9.364637703389333e-17,1.0158859188137885,1.0813352180206541e-16,1.0137863176791977,-1.3010426069826053e-18,1.298768261955167e-18
linear_chain,0.1,0.0,0.1,2.7955974842767297,0.005519201951506718,0.037016079243931924,0.0,0.00360351077223465,0.0366888170405012,0.0,6.146011300234696e-06,1.0374781788785823e-05,0.0,5.317241843772186e-06,8.65741679763118e-06,8.646888633968024e-06,1.4765761734100937e-08,0.003599128593109069,6.146011300234696e-06,1.6263032587282567e-19,1.0842021724855044e-19,5.7157212438637306e-21,1.0150495912743116,1.0813352180206541e-16,1.0130608816916735,0.0,1.2092131599455617e-18
linear_chain,0.1,0.0,0.1,2.845283018867925,0.005242743866988905,0.035128092163798086,0.0,0.003423024671632031,0.03481638607176246,0.0,5.545921460039449e-06,9.375674333313258e-06,0.0,4.708355194776875e-06,7.667102421895717e-06,7.658244025351062e-06,1.242209797969076e-08,0.003419069786428351,5.545921460039448e-06,1.3552527156068805e-19,4.607859233063394e-19,9.364637694667833e-17,1.014271259235721,1.7097411011519292e-16,1.0123856906682176,-4.336808689942018e-19,1.1273548847737065e-18
linear_chain,0.1,0.0,0.1,2.89496855345912,0.004984765317181257,0.033364807003774775,0.0,0.0032546125818413247,0.03306763850397994,0.0,5.013766231956992e-06,8.487906629970311e-06,0.0,4.178256329391757e-06,6.8049035880851435e-06,6.79742690152847e-06,1.0483028306355777e-08,0.0032510366725249256,5.013766231956992e-06,5.421010862427522e-20,4.336808689942018e-19,6.621798934428365e-17,1.0135459645141678,1.5292389313305572e-16,1.0117564554729013,-4.336808689942018e-19,1.0523820900208073e-18
linear_chain,0.1,0.0,0.1,2.9446540880503145,0.00474374208662737,0.03171618853110483,0.0,0.003097277737309617,0.03143262252857562,0.0,4.54085092145365e-06,7.697461543752515e-06,0.0,3.7156267452088457e-06,6.052409972327535e-06,6.046080477939349e-06,8.873305441355523e-09,0.0030940386635940906,4.54085092145365e-06,5.421010862427522e-20,8.131516293641283e-20,1.7519632909350552e-16,1.0128692510453907,1.8729275383521335e-16,1.01116932052038,4.336808689942018e-19,9.834834292680698e-19
linear_chain,0.1,0.0,0.1,2.9943396226415095,0.004518298447127403,0.03017314575174278,0.0,0.0029501205844689993,0.029902322483585608,0.0,4.1197165759283915e-06,6.9922797874490465e-06,0.0,3.310929347407636e-06,5.394110750659454e-06,5.388736830947616e-06,7.532643780350807e-09,0.0029471815066684113,4.119716575928392e-06,2.710505431213761e-20,2.168404344971009e-19,9.364637703389333e-17,1.012237106291383,1.5292389311525305e-16,1.0106208133000494,-4.336808689942018e-19,9.201764803205355e-19
linear_chain,0.1,0.0,0.1,3.0440251572327046,0.004307190557123761,0.02872743102137877,0.0,0.002812327898372056,0.028468558865393533,0.0,3.7439475498548166e-06,6.361960662671542e-06,0.0,2.956104457543909e-06,4.816899337974371e-06,4.812323882800276e-06,6.412558963962105e-09,0.002809656536707424,3.7439475498548166e-06,1.3552527156068805e-19,4.87890977618477e-19,1.1469291999666394e-16,1.0116459103681563,1.8729275379160586e-16,1.0101078005335162,0.0,8.619130361384783e-19
linear_chain,0.1,0.0,0.1,3.0937106918238992,0.004109291947249725,0.027371551132466972,0.0,0.0026831632693732556,0.02712390020423201,0.0,3.408011564500389e-06,5.797512376711487e-06,0.0,2.644321595913487e-06,4.309669102419298e-06,4.305762860960734e-06,5.473912939947825e-09,0.002680731276718173,3.4080115645003888e-06,1.6263032587282567e-19,4.607859233063394e-19,1.480679228595142e-16,1.0110923917631973,1.0813352190277261e-16,1.009627449996468,4.336808689942018e-19,8.083861007796521e-19
linear_chain,0.1,0.0,0.1,3.1433962264150948,0.003923580801950756,0.026098688825589106,0.0,0.0025619587689463845,0.025861585266709317,0.0,3.1071263560247844e-06,5.291142909046933e-06,0.0,2.369776111857671e-06,3.862982208274631e-06,3.859638502446724e-06,4.684998828892596e-09,0.0025597411981669402,3.1071263560247844e-06,1.6263032587282567e-19,3.7947076036992655e-19,6.621798848089937e-17,1.010573588693359,1.52923893061845e-16,1.009177197191379,0.0,7.586966146989064e-19
linear_chain,0.1,0.0,0.1,3.1930817610062894,0.0037491287911570943,0.024902633388765003,0.0,0.0024481076328045546,0.024675454262582407,0.0,2.8371481638843725e-06,4.836084753710162e-06,0.0,2.1275220082239815e-06,3.4687974574867866e-06,3.4659279620363726e-06,4.020040706347945e-09,0.0024460824832244613,2.8371481638843725e-06,1.3552527156068805e-19,4.336808689942018e-19,1.4806792324563141e-16,1.0100868153041622,1.5292389309745036e-16,1.00875471618589,8.673617379884035e-19,7.129322910225972e-19
