distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.05,1.0,0.1,3,16,6,1.3151976840620094,8.771312635612662e-18,-1.3151976840620092,1.6874602100897066e-16,1.3151976840620094,0.13127863550655705,true,0,2.2239704031411703e-16,1.443572559054928,7763.4839337820977
2.05,1.0,0.1,5,36,15,1.3906763292916449,1.5184896434772641e-17,-1.3906763292916449,1.8555887306891301e-16,1.3906763292916449,0.054274775258511349,true,0,6.1942451406826772e-17,1.7353540560784806,91307652733.950577
2.05,1.0,0.1,7,64,28,1.4133789709577551,1.8496944085979983e-17,-1.4133789709577551,1.9179001356525223e-16,1.4133789709577551,0.016062671182044078,true,0,3.1239363308383691e-16,1.969737068180085,4.0839038278505641e+18
2.05,1.0,0.1,9,100,45,1.4198820399816143,1.942319470030068e-17,-1.4198820399816141,1.9639319843642176e-16,1.4198820399816141,0.0045800065362777012,true,0,1.7125170725318868e-16,2.1454258538443702,5.2895054315372552e+26
2.05,1.0,0.1,11,144,66,1.4218433703537978,1.73461478681876e-17,-1.4218433703537978,1.9515819761732748e-16,1.4218433703537978,0.0013794278702411236,true,0,6.7104675974219199e-16,2.2706167707582545,1.2213448179713858e+35
2.1,0.1,0.1,1,4,1,0.0098184182483527539,0,-0.0098184182483527539,1.202415392652962e-18,0.0098184182483527539,0,false,7,8.5784850110415752e-17,1.0110946527705362,1.0110946527705362
2.1,0.1,0.1,3,16,6,0.0099187099212858718,3.771664433313445e-21,-0.0099187099212858735,1.2190151018158589e-18,0.0099187099212858735,0.010111362639801525,true,7,1.3426216122422628e-16,1.0299581186158226,50.659174537722393
2.1,0.1,0.1,5,36,15,0.0099432552337696736,4.6487956968747115e-21,-0.0099432552337696736,1.2241901762708703e-18,0.0099432552337696736,0.0024685389147448599,true,7,9.3817716720693882e-17,1.0410256421742119,396515387.1941269
2.1,0.1,0.1,7,64,28,0.0099469137560457745,9.6923004623519922e-21,-0.0099469137560457763,1.2251988772239657e-18,0.0099469137560457745,0.00036780476495819374,true,7,1.9227268692090286e-16,1.047018807020321,10946932073021240
2.1,0.1,0.1,9,100,45,0.0099473423041284079,9.4510893648726439e-21,-0.0099473423041284096,1.2250015226896646e-18,0.0099473423041284079,4.3081666391984207e-05,true,7,2.1745048937955017e-16,1.0501324475304785,7.8406185006602197e+23
2.1,0.4,0.1,1,4,1,0.15975330235003488,0,-0.15975330235003485,1.9564237407481335e-17,0.15975330235003485,0,false,9,9.9625249515623894e-17,1.0451296577176712,1.0451296577176712
2.1,0.4,0.1,3,16,6,0.16658865227136338,2.9331269453488748e-19,-0.16658865227136338,2.0694684179959094e-17,0.16658865227136338,0.041031305722998013,true,9,1.2280852875743675e-16,1.1289991070654628,827.81230570856405
2.1,0.4,0.1,5,36,15,0.16851915979507495,5.6697764876600256e-19,-0.16851915979507495,2.1183070867510006e-17,0.16851915979507495,0.011455715338594942,true,9,7.6069033813487407e-18,1.1821434621557307,7160041237.7525511
2.1,0.4,0.1,7,64,28,0.16884925445864593,5.7680151891788871e-19,-0.16884925445864596,2.1223769758139251e-17,0.16884925445864593,0.0019549666631891384,true,9,1.0402317572297155e-16,1.2123074538299805,2.1690114843674317e+17
