holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
18,n10_compact_f0.1_d4.0,3,6.0000000000000009,-3.4641016151377548,0,-0.00133890649413774,0.00077301802481016238,0,-0.0013447207394657961,0.00077637488091544956,0,-0.0013436887444422711,0.00077577905831081504,0,-0.0013436887444422711,0.00077577905831081504,0,-0.0013400356183569759,0.0007736699249820862,0,-3.6531260852952031e-06,2.10913332872883e-06,0
18,n10_compact_f0.1_d4.0,4,-4,0,0,0.0013842658089454002,-0.00061666384178383962,0,0.0013921428413905697,-0.00061873345167530306,0,0.0013933286944029421,-0.00061920926307835154,0,0.0013933286944029421,-0.00061920926307835154,0,0.0013872867591964355,-0.00061659256215059106,0,6.0419352065065898e-06,-2.6167009277604488e-06,0
18,n10_compact_f0.1_d4.0,5,0,0,0,-3.7947076036992655e-19,-1.0842021724855044e-19,0,-7.8040561347204766e-19,-5.2768216815845778e-19,0,-2.2998367584383951e-18,-1.1389361148200736e-19,0,-2.2998367584383951e-18,-1.1389361148200736e-19,0,-2.2854084821151981e-18,-1.1315404220858061e-19,0,-1.4428276323196862e-20,-7.3956927342675708e-22,0
18,n10_compact_f0.1_d4.0,6,4.0000000000000009,0,0,-0.0013842658089453996,-0.00061666384178383951,0,-0.0013921428413905708,-0.00061873345167530328,0,-0.0013933286944029435,-0.00061920926307835143,0,-0.0013933286944029435,-0.00061920926307835143,0,-0.0013872867591964368,-0.00061659256215059095,0,-6.0419352065065949e-06,-2.6167009277604483e-06,0
18,n10_compact_f0.1_d4.0,7,-2,3.4641016151377548,0,0.0012261794570528118,-0.00089047743524501405,0,0.001231910308017326,-0.00089626434050323501,0,0.0012329152992859619,-0.0008970534136355803,0,0.0012329152992859619,-0.0008970534136355803,0,0.0012276282022051618,-0.00089312929472260623,0,5.2870970808001354e-06,-3.924118912974072e-06,0
18,n10_compact_f0.1_d4.0,8,2.0000000000000009,3.4641016151377548,0,-0.001226179457052812,-0.00089047743524501405,0,-0.0012319103080173277,-0.00089626434050323501,0,-0.0012329152992859654,-0.00089705341363557976,0,-0.0012329152992859654,-0.00089705341363557976,0,-0.0012276282022051653,-0.00089312929472260569,0,-5.2870970808001507e-06,-3.9241189129740695e-06,0
18,n10_compact_f0.1_d4.0,9,0,6.9282032302755105,0,1.6263032587282567e-19,-0.0015460360496203232,0,4.9400032763770524e-19,-0.0015527497618308978,0,4.4580343815047317e-20,-0.0015515581166216294,0,4.4580343815047317e-20,-0.0015515581166216294,0,4.4546083905649164e-20,-0.0015473398499641718,0,3.4259909398151498e-23,-4.2182666574576565e-06,0
19,n10_compact_f0.1_d3.0,0,-4.5000000000000009,-2.598076211353316,0,0.0041515894638648916,0.0023969212945272084,0,0.0041946874061241117,0.0024218039030920887,0,0.0042103127309772986,0.0024308251886022533,0,0.0042103127309772986,0.0024308251886022533,0,0.0041804276726813199,0.0024135710421503225,0,2.9885058295978253e-05,1.725414645193073e-05,0
19,n10_compact_f0.1_d3.0,1,-1.5,-2.598076211353316,0,0.00047706778006544119,0.0046852762589230821,0,0.00049099375458810295,0.0047457926337776705,0,0.00049523975469237529,0.004780238966340656,0,0.00049523975469237529,0.004780238966340656,0,0.00048923640745721032,0.0047296644543857189,0,6.0033472351649598e-06,5.0574511954937347e-05,0
19,n10_compact_f0.1_d3.0,2,1.5000000000000007,-2.598076211353316,0,-0.00047706778006544043,0.0046852762589230787,0,-0.00049099375458810338,0.0047457926337776714,0,-0.00049523975469237399,0.0047802389663406551,0,-0.00049523975469237399,0.0047802389663406551,0,-0.00048923640745720902,0.004729664454385718,0,-6.0033472351649488e-06,5.0574511954937327e-05,0
