geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,rms_b_vs_c,max_symmetric_a_vs_c,max_symmetric_b_vs_c,max_angle_a_vs_c_deg,max_angle_b_vs_c_deg,rms_two_body_correction,rms_irreducible_multibody,residual_relative,condition_number,sum_c_x,sum_c_y
scalene,0.1,0.0,0.8,5.379245283018868,0.004460533798238753,0.002055009585548928,0.004795142871485413,0.0029212680503199148,0.016857625558904403,6.757228726414319e-05,4.4195679786116984e-05,3.633200562508882e-05,1.0813352338820364e-16,1.0126062634955897,-1.2068361360893852e-05,-1.784044667944157e-05
scalene,0.1,0.0,0.8,5.428930817610063,0.004348999179046413,0.0020038180887336156,0.004674697572928021,0.002847383918327971,0.01642831016145172,6.386774726599679e-05,4.157171406710817e-05,3.418324459302155e-05,7.646196930945356e-17,1.0122739607187572,-1.1342746318703141e-05,-1.6770228199534942e-05
scalene,0.1,0.0,0.8,5.478616352201258,0.004241345589069716,0.0019544091328672444,0.0045584602841367925,0.0027760932726396837,0.016014223185827493,6.038298646180987e-05,3.912729266499378e-05,3.218120761914544e-05,4.174172610234202e-20,1.0119536673225549,-1.0667275412293785e-05,-1.5773909045087645e-05
scalene,0.1,0.0,0.8,5.528301886792454,0.00413740217605626,0.0019067040298440159,0.004446245015877852,0.002707281243439986,0.015614693457067171,5.707526314474653e-05,3.6848572532616785e-05,3.0314590372183735e-05,7.646195335825158e-17,1.0116448426691513,-1.0038055286125586e-05,-1.4845751238947227e-05
scalene,0.1,0.0,0.8,5.577987421383648,0.00403700708173577,0.0018606282501631359,0.004337875615121561,0.0026408390462811216,0.015229085096405796,5.396362764807434e-05,3.4722893996646945e-05,2.8573055145450004e-05,7.646195107950817e-17,1.0113469751996753,-9.451526997718306e-06,-1.398050994929137e-05
scalene,0.1,0.0,0.8,5.627672955974843,0.003940006893001226,0.0018161111678598278,0.004233185161422551,0.0025766636080054796,0.01485679522019299,5.0983942370068776e-05,3.273866995079818e-05,2.6947140246864677e-05,7.646195107950817e-17,1.0110595806169753,-8.90443460816251e-06,-1.3173387123897179e-05
scalene,0.1,0.0,0.8,5.6773584905660375,0.0038462561310624783,0.0017730858232028939,0.004132015405370199,0.0025146572187814457,0.014497252333801306,4.819096588326113e-05,3.088528630589402e-05,2.5428178610540818e-05,1.3243597885302146e-16,1.0107822001976623,-8.393796969165344e-06,-1.2419989849644583e-05
scalene,0.1,0.0,0.8,5.727044025157233,0.0037556167756601436,0.0017314887017742793,0.004034216245811809,0.002454727208221494,0.01414991385683488,4.5531036937588745e-05,2.9153012465993183e-05,2.400822461890001e-05,2.5359559078909936e-16,1.0105143992231123,-7.916882356878165e-06,-1.1716292919274063e-05
scalene,0.1,0.0,0.8,5.7767295597484285,0.0036679578216335653,0.0016912595286694733,0.003939645242883628,0.0023967856437086157,0.013814264977052192,4.2994942230332814e-05,2.7532920742886015e-05,2.267998824298689e-05,7.646195791573821e-17,1.0102557655200486,-7.471185643437414e-06,-1.1058605147915707e-05
scalene,0.1,0.0,0.8,5.826415094339623,0.00358315486540968,0.001652341076659652,0.0038481671640799497,0.0023407490492412296,0.013489816874381482,4.05879357964448e-05,2.6016813748434487e-05,2.1436775712389528e-05,7.64619488007647e-17,1.0100059081021153,-7.054407733209436e-06,-1.044353903523719e-05
scalene,0.1,0.0,0.8,5.876100628930818,0.003501089719141342,0.0016146789872579983,0.003759653560885748,0.0022865381432270733,0.013176104767023208,3.829629265785323e-05,2.4597158913831803e-05,2.0272436017191107e-05,1.5292389874090115e-16,1.0097644559046206,-6.6644370219278446e-06,-9.86798341561998e-06
scalene,0.1,0.0,0.8,5.925786163522012,0.003421650050438757,0.001578221603722784,0.0036739823736425966,0.0022340775938062213,0.01287268726087124,3.6121789765603266e-05,2.3267029382472742e-05,1.9181312624183114e-05,7.64619488007647e-17,1.0095310566052789,-6.299332664702671e-06,-9.329078779558159e-06
scalene,0.1,0.0,0.8,5.975471698113208,0.00334472904580081,0.001542919815100538,0.0035910375625706824,0.0021832957903850773,0.012579144383478767,3.401192466983576e-05,2.202005060826779e-05,1.8158199859518476e-05,1.0813352822214858e-16,1.00930537552441,-5.9573094630133855e-06,-8.824194985575587e-06
scalene,0.1,0.0,0.8,6.025157232704403,0.003270225096004394,0.0015087269105014602,0.0035107087629980237,0.0021341246301888007,0.012295076887331629,3.2036426925603535e-05,2.085035206602522e-05,1.719830347179246e-05,2.63997855900607e-20,1.00908709459859,-5.636724202037204e-06,-8.35091111326021e-06
scalene,0.1,0.0,0.8,6.074842767295598,0.0031980415018408263,0.0014755984428505902,0.0034328909630095914,0.002086499318721782,0.012020104508106493,3.0137121313026285e-05,1.9752523546620526e-05,1.629720494357289e-05,7.646195335825158e-17,1.0088759114222627,-5.336063288576627e-06,-7.906997236102956e-06
scalene,0.1,0.0,0.8,6.124528301886793,0.003128086198756143,0.001443492101427963,0.0033574842019261225,0.0020403581831291285,0.011753865436142437,2.8316468405101867e-05,1.8721575568221724e-05,1.5450829167305515e-05,7.646195335825158e-17,1.0086715383522635,-5.053931556370543e-06,-7.490397917154709e-06
scalene,0.1,0.0,0.8,6.174213836477987,0.0030602714990074524,0.0014123675925661985,0.00328439328805379,0.0019956424975189147,0.011496014832727438,2.654947772641942e-05,1.7752903485472667e-05,1.4655415143666218e-05,2.293858433639694e-16,1.0084737016706313,-4.789042120023179e-06,-7.099217252099985e-06
scalene,0.1,0.0,0.8,6.223899371069182,0.0029945138501123658,0.0013821865279165062,0.003213527534379906,0.001952296319394554,0.011246224378498,2.4876918895628062e-05,1.6842254924693316e-05,1.390748939757392e-05,1.5292389646215765e-16,1.008282140801458,-4.540207171907593e-06,-6.731705303630875e-06
scalene,0.1,0.0,0.8,6.273584905660378,0.0029307336084428855,0.0013529123197535842,0.0031448005109001808,0.0019102663364081371,0.011004180935251196,2.3272184538673578e-05,1.5985700212854957e-05,1.3203841840134036e-05,1.0813352499951865e-16,1.0080966075778648,-4.3063296276421126e-06,-6.386245787687664e-06
scalene,0.1,0.0,0.8,6.323270440251573,0.002868854826879275,0.0013245100828152606,0.0030781298124318416,0.001869501722697434,0.010769586105782207,2.1767042412140833e-05,1.517960550348064e-05,1.2541503833727318e-05,7.64619488007647e-17,1.0079168655555124,-4.086395535922687e-06,-6.061344887127451e-06
scalene,0.1,0.0,0.8,6.3729559748427675,0.002808805055580485,0.0012969465422275376,0.0030134368408127653,0.0018299540041467274,0.010542155031247086,2.025801752827756e-05,1.4420608334634854e-05,1.1917728243430858e-05,7.646195107950817e-17,1.007742689369336,-3.8794671773839445e-06,-5.7556210817013426e-06
scalene,0.1,0.0,0.8,6.422641509433962,0.0027505151549403113,0.0012701899470908197,0.0029506466005041346,0.0017915769319455867,0.010321615922511553,1.878302021753515e-05,1.3705595381456805e-05,1.1329971280726757e-05,1.0813352499951865e-16,1.0075738641304504,-3.684676785199281e-06,-5.467795894819119e-06
scalene,0.1,0.0,0.8,6.472327044025157,0.0026939191199150197,0.0012442099893369876,0.0028896875066688798,0.0017543263638758605,0.010107709491709287,1.741363392971263e-05,1.3031682191004674e-05,1.0775875965781386e-05,1.5292389874090115e-16,1.0074101848604238,-3.5012208269988776e-06,-5.1966854681326224e-06
scalene,0.1,0.0,0.8,6.522012578616353,0.0026389539149312396,0.0012189777274982144,0.002830491204867777,0.0017181601527983736,0.009900187883750664,1.6108968939569464e-05,1.2396194708782586e-05,1.0253257052635069e-05,1.8729275464921986e-16,1.0072514559603163,-3.328354794113501e-06,-4.941192884078127e-06
scalene,0.1,0.0,0.8,6.571698113207548,0.002585559318683848,0.0011944655150575268,0.0027729924015922427,0.0016830380418504096,0.009698814558010986,1.4812419152493543e-05,1.179665242630996e-05,9.760087277702374e-06,1.3243598016865464e-16,1.0070974907120975,-3.165388449715117e-06,-4.700301164921837e-06
scalene,0.1,0.0,0.8,6.6213836477987424,0.002533677778139793,0.0011706469330685643,0.0027171287049186075,0.0016489215659038145,0.009503363326435293,1.3580101180607511e-05,1.1230752996163179e-05,9.294484806200606e-06,1.0813352822214858e-16,1.0069481108102245,-3.011681492224173e-06,-4.473066884002307e-06
scalene,0.1,0.0,0.8,6.671069182389937,0.002483254271158151,0.0011474967267641413,0.0026628404745756714,0.0016157739588634227,0.009313618004735673,1.2283663699401133e-05,1.0696358176839783e-05,8.854701763931081e-06,1.0813352338820364e-16,1.0068031459213411,-2.866639594937691e-06,-4.25861433151712e-06
scalene,0.1,0.0,0.8,6.720754716981132,0.0024342361771391495,0.0011249907458882953,0.002610070680835186,0.0015835600664196945,0.009129371827104056,1.1164539134006841e-05,1.0191480983281808e-05,8.439113753132422e-06,1.0813352983346351e-16,1.0066624332702039,-2.7297107867210735e-06,-4.056130182990801e-06
scalene,0.1,0.0,0.8,6.770440251572328,0.0023865731551919625,0.0011031058885037585,0.002558764771630086,0.0015522462638974163,0.00895042713378767,1.0029569411827041e-05,9.71427393166755e-06,8.04621026124249e-06,7.646195107950817e-17,1.0065258172500873,-2.6003821420909293e-06,-3.8648586237330015e-06
scalene,0.1,0.0,0.8,6.820125786163523,0.002340217029325993,0.0010818200480549008,0.002508870547362712,0.0015218003788627962,0.008776594595734901,8.872676000826597e-06,9.26301827781089e-06,7.674585880533681e-06,7.646195107950817e-17,1.0063931490560425,-2.478176752220972e-06,-3.6840968872138558e-06
scalene,0.1,0.0,0.8,6.869811320754717,0.0022951216802158166,0.0010611120634701817,0.0024603380429118176,0.001492191618191109,0.008607693024929652,7.68396281626435e-06,8.836114158637789e-06,7.322932264580821e-06,1.7097411215336312e-16,1.0062642863395141,-2.3626509511400526e-06,-3.51319116955167e-06
scalene,0.1,0.0,0.8,6.919496855345912,0.0022512429431133904,0.001040961672108355,0.002413119416366537,0.0014633904992924958,0.008443549175772865,6.722620413208828e-06,8.43207155491475e-06,6.990030754805527e-06,2.63997855900607e-20,1.0061390928829101,-2.2533917739714663e-06,-3.351532885879048e-06
