case_id,lmax,rms_d,rms_matched_pairwise,rms_collective_residual,delta_d,delta_d_applicable,delta_b,delta_b_applicable,delta_r,delta_r_applicable,physical_residual,balanced_condition,raw_condition
n10_linear_f0.8_d2.5,7,0.16519930005026637,0.16158341409661059,0.0045185835308676012,0.00022959409295115782,true,0.00032135724058189287,true,0.00025204670699172077,true,9.7435164886626414e-16,1.1561387243148151,1.253157831318877e+17
n10_linear_f0.8_d2.5,9,0.16520054521131736,0.1615866304352466,0.004516081143854175,1.3978195420031732e-05,true,1.9529232328242682e-05,true,1.5541468751247479e-05,true,5.6789190195064614e-16,1.1562518105967761,5.3760823072240025e+24
n10_linear_f0.8_d3.0,1,0.076762434891992748,0.075064419516195913,0.0021719775191241962,0,false,0,false,0,false,2.9653827178230667e-16,1.0640322951360264,1.0640322951360264
n10_linear_f0.8_d3.0,3,0.077072278758256341,0.075876639512177407,0.0015115154847841572,0.0077698328941061658,true,0.010573825528847997,true,0.0086042791715806779,true,3.4138568946725447e-16,1.0728653850311216,359.23437238903597
n10_linear_f0.8_d3.0,5,0.077086983717876312,0.075930113545794667,0.0014619006079665219,0.00052071097873946661,true,0.00069609784621555597,true,0.00065490482084089871,true,5.4788145133478763e-16,1.0733657084722688,655294959.25208235
n10_linear_f0.8_d3.0,7,0.077087449097611616,0.07593205055125371,0.0014600256625897071,1.9215348722487859e-05,true,2.5214937926234119e-05,true,2.4849901336896943e-05,true,5.9861382868282768e-16,1.0733861231699946,4202761675049073.5
n10_linear_f0.8_d4.0,1,0.024230759601910217,0.023996257147720832,0.00030171565172236448,0,false,0,false,0,false,3.392834453557655e-16,1.0273473149322889,1.0273473149322885
n10_linear_f0.8_d4.0,3,0.024241629620604485,0.024052575139148536,0.00024209271049733958,0.0018854078115385492,true,0.0023322618042886886,true,0.0024714818726195549,true,3.1451374182201943e-16,1.0285396233546014,21.828366632809285
n10_linear_f0.8_d4.0,5,0.02424175905654195,0.02405371248860633,0.00024080500715598188,3.9352473313911731e-05,true,4.7111158529193682e-05,true,5.4068474628358993e-05,true,6.887714785232214e-16,1.0285544041701331,11346579.218795117
n10_linear_f0.8_d4.0,7,0.024241760286825651,0.024053725446450739,0.00024079007814486236,4.5462772627405206e-07,true,5.3674341325501072e-07,true,6.2879832282840052e-07,true,7.357051192012995e-16,1.0285545360406885,22717685064339.02
n10_linear_f0.8_d6.0,1,0.004959654005525756,0.0049445904448876003,1.9700038436370698e-05,0,false,0,false,0,false,3.3986134527804775e-16,1.0085892480302707,1.0085892480302709
n10_linear_f0.8_d6.0,3,0.0049598638141352489,0.0049462005303419791,1.7875331182309266e-05,0.00027442429298643362,true,0.00032616648524460916,true,0.00036997553920274857,true,2.6755006860530878e-16,1.0086860452098061,1.8022542170687978
n10_linear_f0.8_d6.0,5,0.0049598637251037116,0.0049462060996017763,1.7868158415506989e-05,1.0483663467924636e-06,true,1.1287910960718841e-06,true,1.4751381201108252e-06,true,5.7765496676192687e-16,1.0086862567805934,39257.991010979422
n10_linear_f0.8_d10.0,1,0.0007253910043761116,0.0007249079985987278,6.3510746557875277e-07,0,false,0,false,0,false,3.382282365300331e-16,1.0020814231761608,1.0020814231761608
n10_linear_f0.8_d10.0,3,0.00072540274161246436,0.0007249372112021449,6.1239918776105251e-07,2.8574827049008652e-05,true,4.0422014354468406e-05,true,3.1402776251359139e-05,true,4.2054273378014285e-16,1.0020875990247073,1.0514904648449206
n10_linear_f0.8_d10.0,5,0.00072540274100378621,0.00072493721883529541,6.1238855319700349e-07,1.0437205603924127e-08,true,1.0574233969684156e-08,true,1.4729504482307354e-08,true,6.0689174401998564e-16,1.0020876007032393,34.982959377403084
n10_linear_f1.0_d2.1,1,0.54480896759705422,0.50134376913094403,0.054774723952163921,0,false,0,false,0,false,3.3576699830688503e-16,1.250687190982769,1.250687190982769
n10_linear_f1.0_d2.1,3,0.59285066291787603,0.56048909498400734,0.040090441529895188,0.08625162443463924,true,0.10002442854716605,true,0.025022016995692498,true,3.4288639257279988e-16,1.4822589411326248,24775.138557520459
n10_linear_f1.0_d2.1,5,0.6079890366931413,0.58233791422071735,0.031542588644085968,0.02802264610374304,true,0.036019611939734894,true,0.014274479055015813,true,9.0032363198413342e-16,1.6515632059174075,237378459757.53415
n10_linear_f1.0_d2.1,7,0.61164065008950386,0.58753308884302413,0.029582504856180657,0.0066495772178596412,true,0.0085126674973877818,true,0.0032894482015982016,true,8.1143529919428684e-16,1.7603400525777102,8.5990242105317837e+18
n10_linear_f1.0_d2.1,9,0.61246163219220651,0.58863719402170667,0.029223577194315065,0.0014522538245897031,true,0.0018066880204346415,true,0.00060404401960126753,true,1.1630894467996623e-15,1.8231570243606023,8.7207533196557208e+26
n10_linear_f1.0_d2.1,11,0.61264816929049415,0.58887344274343567,0.029160644269839057,0.00032191409609328694,true,0.00038646286036641268,true,0.00010604649275236014,true,1.1280233189656337e-15,1.8564665745097879,1.7499817829861057e+35
n10_linear_f1.0_d2.5,1,0.25766769918986698,0.24547546550212213,0.015491752280787297,0,false,0,false,0,false,2.5637127008953505e-16,1.1421064513460815,1.142106451346081
n10_linear_f1.0_d2.5,3,0.26318829224067758,0.25515623062900378,0.010036118512780225,0.027398196111238865,true,0.036893462347069188,true,0.020807060689754606,true,4.7184818039800192e-16,1.1910611548102235,3703.7074395438217
n10_linear_f1.0_d2.5,5,0.26381955259520051,0.25658116400975761,0.0090238815256292633,0.0038579185401933619,true,0.0054173461327837891,true,0.0039056883506700508,true,6.6606482350570392e-16,1.2006523208911051,14720975321.048218
n10_linear_f1.0_d2.5,7,0.26386711563228005,0.25669664803433717,0.0089377589585606428,0.00031306244386674362,true,0.00043896558787497698,true,0.00033456355130046769,true,6.4972670457112641e-16,1.2020590617410354,2.0553073342150333e+17
