scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
1,t14_1_n45_linear_level1,10,-102.19701292608622,0,0,2.651656202472578e-06,0,0,2.6827338642544637e-06,3.648525596309562e-19,0,2.6827338642544637e-06,3.648525596309562e-19,0,2.6740910381727547e-06,3.6441321598397861e-19,0,8.6428260817090407e-09,4.3934364697760772e-22,0
1,t14_1_n45_linear_level1,11,-93.68059518224571,0,0,-2.1896810046320764e-06,0,0,-2.1994292139851375e-06,3.2631639404124734e-19,0,-2.1994292139851375e-06,3.2631639404124734e-19,0,-2.1974742624333367e-06,3.2552704061182949e-19,0,-1.9549515518009627e-09,7.8935342941785184e-22,0
1,t14_1_n45_linear_level1,12,-85.16417743840519,0,0,-4.5109695457954135e-06,0,0,-4.5449193683246028e-06,3.3998199411151898e-19,0,-4.5449193683246028e-06,3.3998199411151898e-19,0,-4.5362381751526777e-06,3.391688601015928e-19,0,-8.6811931719250256e-09,8.1313400992619721e-22,0
1,t14_1_n45_linear_level1,13,-76.64775969456467,0,0,-3.7145502826434781e-06,0,0,-3.7470589271612758e-06,3.5207748628728124e-19,0,-3.7470589271612758e-06,3.5207748628728124e-19,0,-3.7383201388752767e-06,3.5138722284034398e-19,0,-8.738788285999136e-09,6.9026344693727299e-22,0
1,t14_1_n45_linear_level1,14,-68.131341950724149,0,0,-9.6352499472472329e-07,0,0,-9.7573174107389587e-07,3.273637277660892e-19,0,-9.7573174107389587e-07,3.273637277660892e-19,0,-9.7215228165339973e-07,3.266704511686502e-19,0,-3.5794594204961916e-09,6.9327659743898258e-22,0
1,t14_1_n45_linear_level1,15,-59.614924206883629,0,0,1.8149085350416566e-06,0,0,1.826403532890243e-06,3.4495656013066235e-19,0,1.826403532890243e-06,3.4495656013066235e-19,0,1.8236112746061135e-06,3.4432095716897624e-19,0,2.792258284129539e-09,6.3560296168612784e-22,0
1,t14_1_n45_linear_level1,16,-51.098506463043108,0,0,3.0694648814082597e-06,0,0,3.09378117814223e-06,3.583605298265606e-19,0,3.09378117814223e-06,3.583605298265606e-19,0,3.0873344905664004e-06,3.5771219849546194e-19,0,6.4466875758296686e-09,6.4833133109865537e-22,0
1,t14_1_n45_linear_level1,17,-42.582088719202595,0,0,2.3453783261950941e-06,0,0,2.3658736942390905e-06,3.7888540114531066e-19,0,2.3658736942390905e-06,3.7888540114531066e-19,0,2.3602504753669377e-06,3.7819286329102863e-19,0,5.6232188721526135e-09,6.9253785428201798e-22,0
1,t14_1_n45_linear_level1,18,-34.065670975362075,0,0,3.2892312504101711e-07,0,0,3.3344148818093238e-07,3.5029701922484634e-19,0,3.3344148818093238e-07,3.5029701922484634e-19,0,3.3206544896774111e-07,3.4967805197084391e-19,0,1.376039213191241e-09,6.1896725400244544e-22,0
1,t14_1_n45_linear_level1,19,-25.549253231521554,0,0,-1.6816956016757023e-06,0,0,-1.6944235187572028e-06,3.5868786571271096e-19,0,-1.6944235187572028e-06,3.5868786571271096e-19,0,-1.6910698177536375e-06,3.5803969850489233e-19,0,-3.3537010035652419e-09,6.4816720781862061e-22,0
1,t14_1_n45_linear_level1,20,-17.032835487681037,0,0,-2.5333302774769363e-06,0,0,-2.5540458531578588e-06,3.8925262290615649e-19,0,-2.5540458531578588e-06,3.8925262290615649e-19,0,-2.5484370145363741e-06,3.8858338246811694e-19,0,-5.6088386214846026e-09,6.6924043803954335e-22,0
1,t14_1_n45_linear_level1,21,-8.5164177438405186,0,0,-1.8103366553580365e-06,0,0,-1.8254902949558367e-06,3.653766111118584e-19,0,-1.8254902949558367e-06,3.653766111118584e-19,0,-1.8213553040415301e-06,3.6465884915281954e-19,0,-4.1349909143066362e-09,7.1776195903887692e-22,0
1,t14_1_n45_linear_level1,22,0,0,0,2.5622746654442585e-20,0,0,7.1016104412454045e-19,3.5181242736757478e-19,0,7.1016104412454045e-19,3.5181242736757478e-19,0,7.0819883184942143e-19,3.510889789564732e-19,0,1.9622122751190276e-21,7.2344841110157882e-22,0
1,t14_1_n45_linear_level1,23,8.5164177438405186,0,0,1.8103366553582959e-06,0,0,1.8254902949562973e-06,3.4736494296192654e-19,0,1.8254902949562973e-06,3.4736494296192654e-19,0,1.8213553040419903e-06,3.4675022933045379e-19,0,4.1349909143070034e-09,6.1471363147277248e-22,0
1,t14_1_n45_linear_level1,24,17.032835487681037,0,0,2.5333302774772006e-06,0,0,2.5540458531596333e-06,3.6841352180912438e-19,0,2.5540458531596333e-06,3.6841352180912438e-19,0,2.5484370145381461e-06,3.6772844807046598e-19,0,5.6088386214872156e-09,6.8507373865841522e-22,0
1,t14_1_n45_linear_level1,25,25.549253231521554,0,0,1.6816956016754122e-06,0,0,1.6944235187587664e-06,3.8169328073103089e-19,0,1.6944235187587664e-06,3.8169328073103089e-19,0,1.6910698177551977e-06,3.8090180181746399e-19,0,3.3537010035685742e-09,7.9147891356690252e-22,0
