case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n6_linear_f0.8_d4.0,holdout,6,linear,0.80000000000000004,4,0.013860098533110935,0.013860098533110944,8.6736173798840355e-18,0.012571685814783991,0.092958409729123642,0.013863687438881084,0.015825473975177855,1.0002589379694211,1.1418009718597417,0.012977107645957837
n6_linear_f0.8_d6.0,holdout,6,linear,0.80000000000000004,6,0.0044778213394626246,0.0044778213394626194,5.2041704279304213e-18,0.0037249439451211815,0.16813475511101794,0.0044838933738453627,0.0051836243864883825,1.0013560242632351,1.1576219758491897,0.031258912488771343
n6_linear_f0.8_d10.0,holdout,6,linear,0.80000000000000004,10,0.0011357183826796631,0.0011357183826796616,1.5178830414797062e-18,0.00080458789214617546,0.29156038643330134,0.0011405558358600478,0.0014018262055768759,1.0042593773722077,1.2343079296377579,0.066710147569354339
n6_linear_f1.0_d2.1,holdout,6,linear,1,2.1000000000000001,0.11194361890108767,0.11194361890108764,2.7755575615628914e-17,0.10859894883735217,0.029878166317731689,0.11194464808467625,0.12733794606785778,1.000009193767351,1.1375185769219451,0.0023421305279119637
n6_linear_f1.0_d2.5,holdout,6,linear,1,2.5,0.067136843445549252,0.067136843445549252,0,0.06436703137169407,0.041256215390906993,0.067138451021207024,0.076395443401363228,1.000023944760809,1.1379063935784095,0.0038103463502601066
n6_linear_f1.0_d3.0,holdout,6,linear,1,3,0.039509831111570012,0.039509831111569957,5.5511151231257827e-17,0.037249439451211827,0.057210866175942787,0.039512314041775111,0.0449895765506622,1.0000628433515228,1.1386932134338477,0.0062415444895673154
n6_linear_f1.0_d4.0,holdout,6,linear,1,4,0.017325123166388651,0.017325123166388651,0,0.015714607268479994,0.092958409729121852,0.017329609298601355,0.01978184246897232,1.0002589379694227,1.1418009718597437,0.012977107645957836
n6_linear_f1.0_d6.0,holdout,6,linear,1,6,0.0055972766743282833,0.0055972766743282807,2.6020852139652106e-18,0.0046561799314014784,0.16813475511101864,0.0056048667173067019,0.0064795304831104785,1.0013560242632338,1.1576219758491884,0.031258912488771329
n6_linear_f1.0_d10.0,holdout,6,linear,1,10,0.001419647978349578,0.0014196479783495787,6.5052130349130266e-19,0.0010057348651827198,0.29156038643330179,0.0014256947948250596,0.0017522827569710952,1.0042593773722066,1.2343079296377566,0.066710147569354339
n6_compact_f0.1_d2.1,holdout,6,compact,0.10000000000000001,2.1000000000000001,0.019296651735944286,0.019296651735944279,6.9388939039072284e-18,0.01881873643194093,0.024766747648408159,0.019296690068585615,0.023172626104161258,1.0000019864918464,1.2008625341461243,0.0023791483465993362
