schema_version,campaign_id,manifest_sha256,case_order,case_id,classification,evidence_role,eligible,include_in_scientific_tables,metric,value,unit,applicable,reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,19,p1_dimer_ka005_fluid_f000_f1060_d0250_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.088573501434263721,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,19,p1_dimer_ka005_fluid_f000_f1060_d0250_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,19,p1_dimer_ka005_fluid_f000_f1060_d0250_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,20,p1_dimer_ka005_fluid_f000_f1060_d0300_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.0034500586973107289,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,20,p1_dimer_ka005_fluid_f000_f1060_d0300_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.039410423177217623,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,20,p1_dimer_ka005_fluid_f000_f1060_d0300_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,20,p1_dimer_ka005_fluid_f000_f1060_d0300_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,21,p1_dimer_ka005_fluid_f000_f1060_d0400_t000,confirmatory_new,primary,true,true,be_minus_a_rms,0.00034548659647907522,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,21,p1_dimer_ka005_fluid_f000_f1060_d0400_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.01278105688146638,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,21,p1_dimer_ka005_fluid_f000_f1060_d0400_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,21,p1_dimer_ka005_fluid_f000_f1060_d0400_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,22,p1_dimer_ka005_fluid_f000_f1060_d0600_t000,confirmatory_new,primary,true,true,be_minus_a_rms,1.5774211454805138e-05,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,22,p1_dimer_ka005_fluid_f000_f1060_d0600_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.0029583806563181539,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,22,p1_dimer_ka005_fluid_f000_f1060_d0600_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,22,p1_dimer_ka005_fluid_f000_f1060_d0600_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,23,p1_dimer_ka005_fluid_f000_f1060_d0800_t000,confirmatory_new,primary,true,true,be_minus_a_rms,1.6671025777667114e-06,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,23,p1_dimer_ka005_fluid_f000_f1060_d0800_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.0009781942654220532,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,23,p1_dimer_ka005_fluid_f000_f1060_d0800_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,23,p1_dimer_ka005_fluid_f000_f1060_d0800_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
